tc_number;troncon_principal;km_segment;subdivision;mille;localisation;acces;juridiction;autorite_routiere;protection;trains_jour;vehicules_jour;voies_route;urbain;vmax_S1_kmh;vmax_S2_kmh;vmax_S3_kmh;bande_S1;bande_S2;bande_S3;intervention;dist_trace_m
14523;Ott-TO;43.55;Smiths Falls;23.45;Montague Boundary Rd;Public;F;Montague (ON);Active - FLBG;12;50;2;N;199.9;251.7;300.2;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.0
300161;Ott-TO;121.27;Kingston - CN;132.87;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
45935;MTL-Ott;121.4;Alexandria - VIA;39.53;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.1;160.0;190.9;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
52296;MTL-Ott;75.71;Alexandria - VIA;9.44;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;251.0;316.1;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
7998;Ott-TO;110.03;Kingston - CN;125.65;Perth St;Public;F;Brockville (ON);Active - FLBG;40;8300;2;Y;76.1;95.8;114.3;≤153;≤153;≤153;complexe (urbain / multi-voies / autorité provinciale);0.0
142581;MTL-QC;36.3;St-Hyacinthe;45.0;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
140736;MTL-QC;94.39;Drummondville;101.85;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;200.5;252.5;301.2;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
7949;MTL-TO;108.68;Kingston - CN;66.51;Tenth St;Public;F;Cornwall (ON);Active - FLBG;40;1000;2;N;239.7;301.8;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.0
52298;MTL-Ott;79.19;Alexandria - VIA;10.34;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;243.4;306.5;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
19660;Ott-TO;97.13;Brockville - VIA;22.57;Fairfield Rd;Public;F;Elizabethtown-Kitley (ON);Active - FLBG;12;300;2;N;250.9;315.9;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.1
51408;MTL-TO;59.06;Kingston - CN;35.87;Ferme;Private;F;Private Road Authority #1;Passive;54;2;1;N;199.4;251.0;299.4;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
35919;Ott-TO;97.13;Brockville - VIA;25.8;Laurier Blvd;Public;F;Brockville (ON);Active - FLBG;12;3400;2;Y;250.9;315.9;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.1
45905;MTL-Ott;87.16;Alexandria - VIA;21.9;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
140744;MTL-QC;80.87;Drummondville;106.48;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.6;251.4;299.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
4823;MTL-QC;132.42;Drummondville;74.11;Chemin Du 10 Rang;Public;F;Saint-Wenceslas (QC);Active - FLBG;27;210;2;N;202.2;254.6;303.7;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.1
45686;MTL-TO;192.49;Kingston - CN;119.98;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;239.0;300.9;358.9;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
45884;MTL-Ott;87.16;Alexandria - VIA;16.04;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
8147;MTL-TO;378.16;Kingston - CN;233.67;2nd Dug Hill Rd (Trenton);Public;F;Quinte West (ON);Active - FLBG;40;2996;2;N;173.8;218.8;261.0;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);0.1
45873;MTL-Ott;82.75;Alexandria - VIA;12.9;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;160.6;202.2;241.2;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
51934;Ott-TO;23.4;Smiths Falls;9.46;Farm Crossing;Private;F;Private Road Authority #1;Other;12;-;-;N;198.7;250.2;298.5;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
36123;MTL-QC;251.48;Bridge;4.59;Ch. Plage J.-Cartier;Public;F;Québec (QC);Active - FLBG;13;240;2;Y;240.1;302.4;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.1
4815;MTL-QC;151.98;Drummondville;64.03;Chemin Des Cyprès;Public;F;Lemieux (QC);Active - FLBG;27;296;2;N;160.1;201.5;240.4;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);0.1
8069;MTL-TO;306.17;Kingston - CN;190.13;County Rd  7;Public;F;Lennox & Addington (Ontario);Active - FLBG;40;1100;2;N;159.4;200.6;239.3;154-177;178-201;>201;standard (municipal, ≤2 voies, non urbain);0.1
52305;MTL-Ott;81.66;Alexandria - VIA;11.8;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;163.7;206.1;245.8;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
7991;MTL-TO;201.62;Kingston - CN;124.09;Oxford Ave;Public;F;Brockville (ON);Active - FLBG;40;1200;2;Y;159.2;200.4;239.0;154-177;178-201;>201;complexe (urbain / multi-voies / autorité provinciale);0.1
200;MTL-Ott;87.16;Alexandria - VIA;21.22;MacPhee Rd;Public;F;North Glengarry (ON);Active - FLBG;14;49;2;N;127.3;160.2;191.1;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);0.1
45885;MTL-Ott;87.16;Alexandria - VIA;16.32;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
140732;MTL-QC;107.62;Drummondville;93.57;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;207.0;260.7;310.9;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
52293;MTL-Ott;75.71;Alexandria - VIA;9.07;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;251.0;316.1;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
778613;MTL-Ott;139.16;Alexandria - VIA;48.31;Maria (Emergency Access road);Public;F;Casselman (ON);Active - FLBG;20;-;2;N;124.9;157.2;187.5;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);0.2
45673;MTL-TO;175.7;Kingston - CN;107.85;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;237.1;298.5;356.1;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
45728;MTL-TO;259.23;Kingston - CN;162.25;-;Private;F;Private Road Authority #1;Passive;-;-;1;N;217.3;273.6;326.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
45810;MTL-TO;173.68;Kingston - CN;106.6;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;230.7;290.4;346.5;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
45785;MTL-TO;388.28;Kingston - CN;243.52;Farm;Private;F;Private Road Authority #1;Passive;40;2;1;N;193.6;243.7;290.7;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
45729;MTL-TO;259.23;Kingston - CN;162.44;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;217.3;273.6;326.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
140719;MTL-QC;121.71;Drummondville;84.7;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;128.1;161.3;192.4;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
19654;Ott-TO;88.77;Brockville - VIA;14.29;Rock Springs Rd;Public;F;Elizabethtown-Kitley (ON);Active - FLBG;12;60;2;Y;238.3;300.0;357.9;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.2
8168;MTL-TO;399.0;Kingston - CN;248.79;Durham St;Public;F;Cramahe (ON);Active - FLBG;40;300;2;N;238.6;300.4;358.3;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.2
237;MTL-Ott;151.27;Alexandria - VIA;58.7;Dunning Rd;Public;F;Ottawa (ON);Active - FLBG;14;250;2;N;360.0;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.2
140670;MTL-QC;151.98;Drummondville;65.12;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;160.1;201.5;240.4;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
19639;Ott-TO;67.02;Brockville - VIA;0.73;Lorne St;Public;F;Smiths Falls (ON);Active - FLBG;12;3387;2;Y;93.0;117.1;139.7;≤153;≤153;≤153;complexe (urbain / multi-voies / autorité provinciale);0.2
52306;MTL-Ott;82.05;Alexandria - VIA;12.2;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;166.7;209.9;250.3;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
300155;MTL-TO;215.43;Kingston - CN;133.13;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;198.9;250.4;298.7;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
52304;MTL-Ott;80.48;Alexandria - VIA;11.22;Farm Crossing;Private;F;Private Road Authority #1;Active - FLB;20;0.01;1;N;139.4;175.5;209.3;≤153;154-177;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
45928;MTL-Ott;121.4;Alexandria - VIA;37.96;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.1;160.0;190.9;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.2
190;MTL-Ott;63.8;Alexandria - VIA;2.13;Montee Chenier;Public;F;Saint-Polycarpe (QC);Active - FLBG;14;194;2;N;199.3;250.9;299.3;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.2
140679;MTL-QC;140.14;Drummondville;70.65;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
140714;MTL-QC;121.71;Drummondville;83.98;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;128.1;161.3;192.4;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
50848;MTL-Ott;75.71;Alexandria - VIA;10.0;Farm Crossing;Private;F;Sainte-Justine-de-Newton (QC);Other;14;2;1;N;251.0;316.1;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
4810;MTL-QC;161.53;Drummondville;58.92;Chemin Du Domaine;Public;F;Lemieux (QC);Active - FLBG;27;510;2;N;201.1;253.1;302.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.3
52394;MTL-QC;36.3;St-Hyacinthe;44.17;-;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
140662;MTL-QC;170.87;Drummondville;53.15;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.2;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
19642;Ott-TO;68.02;Brockville - VIA;2.02;Eric Hutchinson Rd;Public;F;Rideau Lakes (ON);Active - FLBG;12;2102;2;N;135.9;171.1;204.0;≤153;154-177;>201;standard (municipal, ≤2 voies, non urbain);0.3
4828;MTL-QC;129.02;Drummondville;80.17;Rue Beliveau;Public;F;Saint-Léonard d'Aston (QC);Active - FLBG;27;2000;2;Y;159.0;200.2;238.8;154-177;178-201;>201;complexe (urbain / multi-voies / autorité provinciale);0.3
45731;MTL-TO;259.23;Kingston - CN;163.03;Farm Hose & Fields;Private;F;Private Road Authority #1;Passive;40;2;1;N;217.3;273.6;326.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
52299;MTL-Ott;79.19;Alexandria - VIA;10.38;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;243.4;306.5;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
140638;MTL-QC;201.35;Drummondville;35.55;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;167.0;210.3;250.8;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
142610;MTL-QC;20.19;St-Hyacinthe;58.83;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;200.4;252.3;300.9;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
198;MTL-Ott;87.16;Alexandria - VIA;18.09;Rolland Masssie Rd;Public;F;North Glengarry (ON);Active - FLBG;14;199;2;N;127.3;160.2;191.1;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);0.3
45939;MTL-Ott;140.84;Alexandria - VIA;49.15;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;197.8;249.1;297.1;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
140680;MTL-QC;140.14;Drummondville;70.77;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
45901;MTL-Ott;87.16;Alexandria - VIA;20.59;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.3
8331;Ott-TO;421.81;Kingston - GO;320.65;Poplar Rd;Public;P;Toronto (ON);Active - FLBG;103;750;2;Y;241.2;303.7;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.3
7919;MTL-Ott;59.08;Kingston - CN;35.77;Riviere Delisle Sud;Public;F;Coteau-du-Lac (QC);Active - FLBG;54;24;2;N;199.3;250.9;299.3;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.4
4857;MTL-QC;69.45;Drummondville;110.96;Rang Brodeur;Public;F;MTQ.;Active - FLBG;27;1108;2;N;239.6;301.7;359.8;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.4
14512;Ott-TO;20.98;Smiths Falls;7.96;Moodie Dr;Public;F;Ottawa (ON);Active - FLBG;12;2500;2;N;160.6;202.2;241.2;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);0.4
52295;MTL-Ott;75.71;Alexandria - VIA;9.35;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;251.0;316.1;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.4
45929;MTL-Ott;121.4;Alexandria - VIA;38.14;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.1;160.0;190.9;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.4
4831;MTL-QC;126.24;Drummondville;82.14;Rang Des Martin;Public;F;Saint-Léonard d'Aston (QC);Active - FLBG;27;132;2;N;199.5;251.2;299.7;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.4
51759;Ott-TO;10.04;Smiths Falls;3.3;Transit Way;Private;F;Ottawa (ON);Active - FLBG;30;1002;2;N;268.3;337.8;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.4
8158;Ott-TO;294.1;Kingston - CN;242.07;Ontario St (Reg)  (Bright;Public;F;Northumberland (Ontario);Active - FLBG;40;4000;2;Y;199.8;251.6;300.1;178-201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.4
45683;MTL-TO;187.5;Kingston - CN;114.94;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;250.1;314.9;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.4
45927;MTL-Ott;121.4;Alexandria - VIA;37.77;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.1;160.0;190.9;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.4
205;MTL-Ott;103.3;Alexandria - VIA;25.52;Kenyon  Concession Road 4;Public;F;North Glengarry (ON);Active - FLBG;14;199;2;N;115.5;145.4;173.4;≤153;≤153;154-177;standard (municipal, ≤2 voies, non urbain);0.4
253;MTL-Ott;160.68;Alexandria - VIA;71.98;Rd 43 (Ramsayville Road);Public;F;Ottawa (ON);Active - FLBG;14;1600;2;N;306.1;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.4
300156;Ott-TO;121.27;Kingston - CN;133.24;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.4
8169;MTL-TO;403.37;Kingston - CN;249.43;Victoria St (Colborne);Public;F;Cramahe (ON);Active - FLBG;40;300;2;N;301.8;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.4
240;MTL-Ott;160.68;Alexandria - VIA;60.87;Buckland Rd;Public;F;Ottawa (ON);Active - FLBG;14;450;2;N;306.1;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.4
52300;MTL-Ott;79.19;Alexandria - VIA;10.41;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;243.4;306.5;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.4
4805;MTL-QC;175.01;Drummondville;46.35;Rue Principale;Public;F;MTQ.;Active - FLBG;27;2090;2;N;124.5;156.7;187.0;≤153;154-177;178-201;complexe (urbain / multi-voies / autorité provinciale);0.4
7923;MTL-TO;61.75;Kingston - CN;43.48;Rue Principale;Public;F;MTQ.;Active - FLBG;40;2300;2;Y;267.4;336.7;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.4
8141;MTL-TO;370.75;Kingston - CN;230.65;Lester Rd;Public;F;Quinte West (ON);Active - FLBG;40;384;2;N;199.0;250.6;298.9;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.5
45906;MTL-Ott;99.84;Alexandria - VIA;23.95;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.4;160.4;191.3;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
7929;MTL-TO;61.75;Kingston - CN;52.3;1st Line Road;Public;F;South Glengarry (ON);Active - FLBG;40;46;1;N;267.4;336.7;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.5
8248;Ott-TO;384.94;Kingston - CN;296.22;Parkway Rd;Public;F;Clarington (ON);Active - FLBG;40;250;2;N;160.9;202.6;241.7;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);0.5
51502;MTL-QC;140.14;Drummondville;72.9;Ferme;Private;F;Private Road Authority #1;Passive;27;2;1;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
214;MTL-Ott;117.27;Alexandria - VIA;35.74;Cumming Rd;Public;F;North Stormont (ON);Active - FLBG;14;164;2;N;130.4;164.2;195.9;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);0.5
4860;MTL-QC;69.45;Drummondville;115.34;Chemin 2E Rang Est;Public;F;Sainte-Hélène (QC);Active - FLBG;27;1004;2;N;239.6;301.7;359.8;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.5
140643;MTL-QC;193.51;Drummondville;39.67;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.1;250.7;299.1;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
7979;MTL-TO;177.79;Kingston - CN;110.64;Frederick St;Public;F;Edwardsburgh/Cardinal (ON);Active - FLBG;40;20;2;N;235.1;296.0;353.1;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.5
140696;MTL-QC;132.42;Drummondville;76.58;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;202.2;254.6;303.7;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
8065;Ott-TO;204.03;Kingston - CN;184.01;County Rd 6;Public;F;Lennox & Addington (Ontario);Active - FLBG;40;2200;2;N;154.3;194.3;231.8;154-177;178-201;>201;standard (municipal, ≤2 voies, non urbain);0.5
50846;MTL-Ott;75.71;Alexandria - VIA;9.67;Farm Crossing;Private;F;Sainte-Justine-de-Newton (QC);Passive;14;2;1;N;251.0;316.1;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
45691;MTL-TO;198.58;Kingston - CN;121.99;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;225.3;283.7;338.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
8149;MTL-TO;379.04;Kingston - CN;234.8;Morningstar Road;Public;F;Quinte West (ON);Active - FLBG;40;50;1;N;239.4;301.5;359.6;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.5
45907;MTL-Ott;99.84;Alexandria - VIA;24.01;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.4;160.4;191.3;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
142591;MTL-QC;36.3;St-Hyacinthe;46.39;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
45735;MTL-TO;309.22;Kingston - CN;191.02;Private Drive;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;156.2;196.6;234.6;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.5
45719;MTL-TO;190.83;Kingston - CN;117.04;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;234.8;295.7;352.7;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
8220;Ott-TO;356.34;Kingston - CN;278.54;East Townline Rd;Public;F;Port Hope (ON);Active - FLBG;40;600;1;N;198.6;250.1;298.3;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.6
19656;Ott-TO;90.22;Brockville - VIA;15.85;Jellyby Rd;Public;F;Elizabethtown-Kitley (ON);Active - FLBG;12;150;2;N;158.8;199.9;238.5;154-177;178-201;>201;standard (municipal, ≤2 voies, non urbain);0.6
52301;MTL-Ott;79.55;Alexandria - VIA;10.46;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;160.3;201.8;240.8;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
45908;MTL-Ott;99.84;Alexandria - VIA;24.28;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.4;160.4;191.3;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
45740;Ott-TO;222.91;Kingston - CN;195.87;Farm;Private;F;Private Road Authority #1;Passive;40;2;1;N;159.1;200.4;239.0;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
142605;MTL-QC;36.3;St-Hyacinthe;50.64;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
7907;MTL-Ott;36.75;Kingston - CN;22.07;Perrot Blvd;Public;F;L'Ile-Perrot (Quebec);Active - FLBG;54;1370;2;N;221.7;279.1;332.9;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.6
19638;Ott-TO;66.18;Brockville - VIA;0.3;Chambers St;Public;F;Smiths Falls (ON);Active - FLBG;12;800;2;Y;77.8;98.0;116.9;≤153;≤153;≤153;complexe (urbain / multi-voies / autorité provinciale);0.6
52302;MTL-Ott;79.55;Alexandria - VIA;10.55;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;160.3;201.8;240.8;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
51662;MTL-Ott;87.16;Alexandria - VIA;21.7;Farm Crossing;Private;F;Private Road Authority #1;Other;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
140765;MTL-QC;58.44;Drummondville;122.47;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;159.2;200.5;239.1;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
45923;MTL-Ott;121.17;Alexandria - VIA;36.35;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;161.8;203.7;243.0;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.6
8155;Ott-TO;284.85;Kingston - CN;238.97;Lawson Settlement Rd;Public;F;Brighton (ON);Active - FLBG;40;300;2;N;239.4;301.4;359.5;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.7
140726;MTL-QC;112.2;Drummondville;89.02;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;158.3;199.4;237.8;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.7
50118;MTL-QC;140.14;Drummondville;69.1;Passage De Ferme;Private;F;Private Road Authority #1;Passive;27;2;1;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.7
194;MTL-Ott;79.55;Alexandria - VIA;10.97;Montee De La Station (Route 425);Public;F;Sainte-Justine-de-Newton (QC);Active - FLBG;13;770;2;N;160.3;201.8;240.8;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);0.7
140616;MTL-QC;201.75;Drummondville;31.5;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.7
140667;MTL-QC;151.98;Drummondville;63.5;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;160.1;201.5;240.4;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.7
45872;MTL-Ott;82.75;Alexandria - VIA;12.43;-;Private;F;Private Road Authority #1;Other;20;0.01;1;N;160.6;202.2;241.2;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.7
140614;MTL-QC;201.75;Drummondville;31.2;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.7
244;MTL-Ott;160.68;Alexandria - VIA;63.95;Sabourin Rd;Public;F;Ottawa (ON);Active - FLBG;14;35;2;N;306.1;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.7
8003;MTL-TO;223.3;Kingston - CN;137.19;County Rd  5;Public;F;Leeds & Grenville (Ontario);Active - FLBG;40;500;2;N;238.8;300.7;358.7;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.7
140760;MTL-QC;80.87;Drummondville;110.0;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.6;251.4;299.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.7
