tc_number;troncon_principal;km_segment;subdivision;mille;localisation;acces;juridiction;autorite_routiere;protection;trains_jour;vehicules_jour;voies_route;urbain;vmax_S1_kmh;vmax_S2_kmh;vmax_S3_kmh;bande_S1;bande_S2;bande_S3;intervention;dist_trace_m
4845;MTL-QC;100.3;Drummondville;98.17;Rue Brock;Public;F;Drummondville (QC);Active - FLBG;27;7030;2;Y;130.4;164.1;195.8;≤153;154-177;178-201;complexe (urbain / multi-voies / autorité provinciale);1.8
140695;MTL-QC;132.42;Drummondville;76.47;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;202.2;254.6;303.7;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.8
212;MTL-Ott;117.27;Alexandria - VIA;34.23;Main St - Cnty 20  (Maxville);Public;F;Stormont Dundas&Glengarry (Ontario);Active - FLBG;14;1123;2;N;130.4;164.2;195.9;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);1.8
7902;MTL-TO;27.96;Kingston - CN;17.52;Woodland Avenue;Public;F;Beaconsfield (QC);Active - FLBG;54;2700;2;Y;238.8;300.7;358.7;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);1.8
140694;MTL-QC;132.42;Drummondville;76.4;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;202.2;254.6;303.7;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.8
51663;MTL-Ott;151.27;Alexandria - VIA;55.12;Farm Crossing;Private;F;Private Road Authority #1;Other;14;2;1;N;360.0;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.8
19649;Ott-TO;75.3;Brockville - VIA;8.41;Ireland Rd;Public;F;Merrickville-Wolford (ON);Active - FLBG;12;50;2;N;304.1;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);1.8
4855;MTL-QC;80.87;Drummondville;107.96;Route 239;Public;F;MTQ.;Active - FLBG;27;3504;2;N;199.6;251.4;299.8;178-201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);1.8
52488;MTL-Ott;63.8;Alexandria - VIA;2.52;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.8
140619;MTL-QC;201.75;Drummondville;31.9;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.8
